,Map Date,Drought Level,Population Current,Population Current %,Area Current,Area Current %,Area Miles
0,2000-01-04,D0  ,"28,130,516.06",75.51,"76,187.59",48.17,"158,147.87"
1,2000-01-11,D0  ,"31,598,388.02",84.82,"129,289.05",81.75,"158,147.87"
2,2000-01-18,D0  ,"28,689,915.36",77.01,"113,921.84",72.04,"158,147.87"
3,2000-01-25,D0  ,"24,683,436.34",66.26,"88,511.14",55.97,"158,147.87"
4,2000-02-01,D0  ,"24,031,764.14",64.51,"80,468.74",50.88,"158,147.87"
5,2000-02-08,D0  ,"22,784,622.29",61.16,"69,903.41",44.2,"158,147.87"
6,2000-02-15,D0  ,"22,723,045.34",60.99,"68,958.49",43.6,"158,147.87"
7,2000-02-22,D0  ,"19,602,137.43",52.62,"29,579.80",18.7,"158,147.87"
8,2000-02-29,D0  ,"8,206,844.56",22.03,"25,689.01",16.24,"158,147.87"
9,2000-02-29,D1  ,"3,038.37",0.01,78.49,0.05,"158,147.87"
10,2000-03-07,D0  ,"2,704,242.72",7.26,"14,871.91",9.4,"158,147.87"
11,2000-03-07,D1  ,"1,916.00",0.01,49.50,0.03,"158,147.87"
12,2000-03-14,D0  ,"316,971.98",0.85,"4,038.39",2.55,"158,147.87"
13,2000-03-21,D0  ,"316,971.98",0.85,"4,038.39",2.55,"158,147.87"
14,2000-03-28,D0  ,"388,570.53",1.04,"4,307.06",2.72,"158,147.87"
15,2000-04-04,D0  ,"608,899.28",1.63,"4,712.35",2.98,"158,147.87"
16,2000-04-11,D0  ,"608,899.28",1.63,"4,712.35",2.98,"158,147.87"
17,2000-04-18,D0  ,"969,098.08",2.6,"6,434.80",4.07,"158,147.87"
18,2000-07-25,D0  ,"450,826.08",1.21,"12,041.02",7.61,"158,147.87"
19,2000-08-01,D0  ,"450,824.18",1.21,"12,040.47",7.61,"158,147.87"
20,2000-08-08,D0  ,"1,152,900.65",3.09,"19,009.75",12.02,"158,147.87"
21,2000-08-15,D0  ,"3,914,743.05",10.51,"36,664.08",23.18,"158,147.87"
22,2000-08-15,D1  ,"337,589.76",0.91,"2,724.86",1.72,"158,147.87"
23,2000-08-22,D0  ,"3,965,808.46",10.65,"37,828.28",23.92,"158,147.87"
24,2000-08-22,D1  ,"286,524.35",0.77,"1,560.67",0.99,"158,147.87"
25,2000-08-29,D0  ,"3,262,801.18",8.76,"36,040.54",22.79,"158,147.87"
26,2000-09-05,D0  ,"2,726,278.44",7.32,"19,264.68",12.18,"158,147.87"
27,2000-09-12,D0  ,"2,726,278.70",7.32,"19,264.68",12.18,"158,147.87"
28,2000-09-19,D0  ,"2,726,334.65",7.32,"19,264.90",12.18,"158,147.87"
29,2000-09-26,D0  ,"2,808,830.65",7.54,"20,080.36",12.7,"158,147.87"
30,2000-10-03,D0  ,"2,808,764.82",7.54,"20,080.05",12.7,"158,147.87"
31,2000-10-10,D0  ,"2,808,758.55",7.54,"20,077.79",12.7,"158,147.87"
32,2000-10-17,D0  ,"4,025,136.27",10.8,"25,174.53",15.92,"158,147.87"
33,2000-10-24,D0  ,"2,380,148.06",6.39,"18,740.74",11.85,"158,147.87"
34,2001-01-02,D0  ,"20,805,672.27",55.85,"48,815.18",30.87,"158,147.87"
35,2001-01-09,D0  ,"20,600,801.22",55.3,"69,069.51",43.67,"158,147.87"
36,2001-01-16,D0  ,"1,329,314.63",3.57,"23,316.89",14.74,"158,147.87"
37,2001-01-23,D0  ,"1,194,824.62",3.21,"40,754.28",25.77,"158,147.87"
38,2001-01-30,D0  ,"927,322.16",2.49,"31,553.94",19.95,"158,147.87"
39,2001-02-06,D0  ,"2,922,512.27",7.84,"57,480.12",36.35,"158,147.87"
40,2001-02-13,D0  ,"2,811,085.67",7.55,"54,350.84",34.37,"158,147.87"
41,2001-02-13,D1  ,"47,173.82",0.13,"4,239.71",2.68,"158,147.87"
