StateAbbreviation,AreaCurrentPercent,AreaCurrent,PopulationCurrent,PopulationCurrentPercent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,Name,AreaMiles,MapDate
CA,48.17,"76,187.59","28,130,516.06",75.51,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-01-04
CA,81.75,"129,289.05","31,598,388.02",84.82,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-01-11
CA,72.04,"113,921.84","28,689,915.36",77.01,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-01-18
CA,55.97,"88,511.14","24,683,436.34",66.26,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-01-25
CA,50.88,"80,468.74","24,031,764.14",64.51,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-02-01
CA,44.20,"69,903.41","22,784,622.29",61.16,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-02-08
CA,43.60,"68,958.49","22,723,045.34",60.99,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-02-15
CA,18.70,"29,579.80","19,602,137.43",52.62,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-02-22
CA,16.24,"25,689.01","8,206,844.56",22.03,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-02-29
CA,0.05,78.49,"3,038.37",0.01,0.00,0.00,2,2,D1  ,California,"158,147.87",2000-02-29
CA,9.40,"14,871.91","2,704,242.72",7.26,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-03-07
CA,0.03,49.50,"1,916.00",0.01,0.00,0.00,2,2,D1  ,California,"158,147.87",2000-03-07
CA,2.55,"4,038.39","316,971.98",0.85,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-03-14
CA,2.55,"4,038.39","316,971.98",0.85,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-03-21
CA,2.72,"4,307.06","388,570.53",1.04,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-03-28
CA,2.98,"4,712.35","608,899.28",1.63,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-04-04
CA,2.98,"4,712.35","608,899.28",1.63,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-04-11
CA,4.07,"6,434.80","969,098.08",2.60,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-04-18
CA,7.61,"12,041.02","450,826.08",1.21,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-07-25
CA,7.61,"12,040.47","450,824.18",1.21,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-08-01
CA,12.02,"19,009.75","1,152,900.65",3.09,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-08-08
CA,23.18,"36,664.08","3,914,743.05",10.51,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-08-15
CA,1.72,"2,724.86","337,589.76",0.91,0.00,0.00,2,2,D1  ,California,"158,147.87",2000-08-15
CA,23.92,"37,828.28","3,965,808.46",10.65,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-08-22
CA,0.99,"1,560.67","286,524.35",0.77,0.00,0.00,2,2,D1  ,California,"158,147.87",2000-08-22
CA,22.79,"36,040.54","3,262,801.18",8.76,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-08-29
CA,12.18,"19,264.68","2,726,278.44",7.32,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-09-05
CA,12.18,"19,264.68","2,726,278.70",7.32,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-09-12
CA,12.18,"19,264.90","2,726,334.65",7.32,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-09-19
CA,12.70,"20,080.36","2,808,830.65",7.54,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-09-26
CA,12.70,"20,080.05","2,808,764.82",7.54,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-10-03
CA,12.70,"20,077.79","2,808,758.55",7.54,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-10-10
CA,15.92,"25,174.53","4,025,136.27",10.80,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-10-17
CA,11.85,"18,740.74","2,380,148.06",6.39,0.00,0.00,2,1,D0  ,California,"158,147.87",2000-10-24
CA,30.87,"48,815.18","20,805,672.27",55.85,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-01-02
CA,43.67,"69,069.51","20,600,801.22",55.30,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-01-09
CA,14.74,"23,316.89","1,329,314.63",3.57,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-01-16
