Acres Burned,Latitude,Longitude,Incident Start
30.0,40.61805556,-123.67555556,2019-01-01T14:14:00Z
80.0,39.24678,-121.32399,2019-06-25T13:51:09Z
161.0,35.81778,-120.09715,2019-04-28T22:20:00Z
10.0,39.83958,-121.957,2019-04-30T12:20:00Z
115.0,35.65189,-118.92545,2019-04-30T18:37:00Z
50.0,39.85484,-121.905,2019-05-01T16:46:00Z
172.0,35.03855,-119.19454,2019-05-03T15:04:00Z
2500.0,35.72057,-119.62762,2019-05-07T15:47:00Z
65.0,39.11536,-120.76088,2019-05-10T14:14:00Z
22.0,32.557566,-116.8663,2019-05-13T18:46:00Z
130.0,33.650237,-116.172534,2019-05-18T22:53:00Z
63.0,39.98097,-122.30737,2019-05-20T10:57:00Z
26.0,33.81678,-117.18194,2019-05-20T13:50:00Z
835.0,35.30759,-119.96498,2019-05-29T17:10:00Z
121.0,36.66909,-119.3046,2019-05-29T17:18:00Z
45.0,33.69078,-114.57265,2019-05-30T12:41:00Z
144.0,37.45899,-121.22093,2019-05-30T16:19:00Z
55.0,33.57039,-116.1466,2019-05-29T21:06:00Z
155.0,36.28001,-119.10974,2019-06-01T15:49:00Z
257.0,36.18479,-118.99229,2019-06-02T16:12:00Z
33.0,36.23012,-118.85712,2019-06-03T12:18:00Z
25.0,36.14246,-118.80582,2019-06-03T12:18:00Z
1075.0,35.343761,-119.913717,2019-06-05T10:49:00Z
23.0,38.02503,-121.9763,2019-06-06T14:24:00Z
24.0,38.21416,-122.12214,2019-06-07T12:59:00Z
27.0,38.75263,-121.39259,2019-06-07T12:59:00Z
581.0,37.25988,-121.09375,2019-06-07T16:55:00Z
70.0,39.15641,-121.56363,2019-06-08T13:07:00Z
2220.0,38.88978,-122.23922,2019-06-08T14:50:00Z
50.0,38.63047,-122.47282,2019-06-08T14:37:00Z
1350.0,39.28926,-121.85906,2019-06-08T14:37:00Z
1763.0,35.66318,-120.41128,2019-06-12T12:48:00Z
210.0,37.21638,-121.70768,2019-06-09T14:29:00Z
35.0,37.44422,-121.84082,2019-06-10T15:16:00Z
43.0,35.97059,-120.88241,2019-06-12T17:23:00Z
47.0,35.89593,-118.94106,2019-06-10T17:51:00Z
120.0,35.57376,-120.11738,2019-06-10T11:55:00Z
15.0,33.30267,-116.97772,2019-06-10T14:25:00Z
17.0,39.76242,-121.73659,2019-06-15T15:29:00Z
17.0,41.64895,-122.35962,2019-06-14T16:14:00Z
10.0,41.94622,-122.40157,2019-06-16T20:33:00Z
120.0,33.39684,-117.29665,2019-06-20T14:56:00Z
207.0,39.28926,-121.85906,2019-06-17T17:50:00Z
500.0,33.919507,-117.103765,2019-06-21T13:02:00Z
30.0,37.75427,-121.57382,2019-06-21T14:42:00Z
46.0,39.97083,-122.48277,2019-06-22T03:12:00Z
80.0,39.24678,-121.32399,2019-06-24T11:57:00Z
2420.0,37.46577,-121.28312,2019-06-25T08:54:24Z
2546.0,36.28426,-120.94771,2019-06-25T09:18:22Z
90.0,40.41404,-122.66779,2019-06-26T15:35:00Z
17.0,37.494136,-121.534827,2019-06-26T18:06:54Z
148.0,38.73817,-121.39419,2019-06-26T22:43:07Z
20.0,33.80493,-117.15738,2019-06-27T16:14:25Z
2.0,39.40972222,-121.00055556,2019-06-28T15:03:04Z
28.0,32.62305556,-116.91416667,2019-06-29T11:11:55Z
214.0,33.911,-116.980528,2019-06-29T12:54:13Z
210.0,37.312877,-120.242411,2019-06-29T15:09:52Z
12.0,39.32889,-121.23431,2019-06-29T22:07:59Z
74.0,37.18904,-121.694968,2019-07-02T16:10:02Z
283.0,37.63206,-121.538382,2019-07-03T15:34:12Z
25.0,37.469,-121.3697,2019-07-05T09:46:01Z
24.0,37.99837,-122.16201,2019-07-05T13:33:56Z
30.0,40.41741,-122.767256,2019-07-05T14:46:33Z
263.0,40.679318,-120.392768,2019-07-05T16:37:04Z
38.0,39.06066,-121.35014,2019-07-06T20:21:25Z
244.0,37.524378,-120.296551,2019-07-08T15:30:14Z
1010.0,35.6311111,-120.2691666,2019-07-08T16:44:08Z
190.0,35.95191,-120.8092,2019-07-09T21:43:36Z
20.0,33.69055556,-116.953889,2019-07-11T16:27:17Z
100.0,32.566389,-116.7525,2019-07-12T13:20:39Z
80.0,33.56938,-116.07896,2019-07-12T17:15:31Z
22.0,37.093243,-121.586846,2019-07-12T18:40:09Z
30.0,40.463936,-122.435492,2019-07-12T19:08:54Z
96.0,33.8128372,-117.1228851,2019-07-13T10:36:00Z
1165.0,39.631945,-119.769881,2019-07-13T18:42:22Z
193.0,40.072739,-120.158273,2019-07-14T14:02:31Z
131.0,34.366111,-118.96,2019-07-14T11:45:00Z
202.0,37.944751,-120.84372,2019-07-15T10:49:00Z
47.0,37.32555556,-121.76444444,2019-07-15T11:12:00Z
213.0,37.016944,-119.934167,2019-07-15T18:19:31Z
81.0,33.514658,-116.7884,2019-07-16T13:45:43Z
90.0,37.962557,-121.468074,2019-07-16T18:44:15Z
128.0,41.909,-120.306,2019-07-17T16:13:41Z
25.0,32.794768,-116.839743,2019-07-17T17:42:04Z
35.0,37.420988,-121.371276,2019-07-18T09:07:57Z
27.0,38.115224,-120.78068,2019-07-18T18:31:00Z
149.0,37.241427,-120.027731,2019-07-21T12:01:40Z
208.0,34.9008333,-118.9183333,2019-07-21T15:30:17Z
64.0,38.481258,-122.143942,2019-07-22T15:05:34Z
81.0,34.42386,-117.10318,2019-07-22T19:45:27Z
10.0,39.423833,-121.579738,2019-07-23T14:41:00Z
183.0,38.158333,-122.118889,2019-07-24T12:28:45Z
80.0,37.433192,-121.807258,2019-07-24T20:01:44Z
95.0,35.004722,-120.435278,2019-07-24T20:09:59Z
83.0,41.834366,-122.656569,2019-07-27T10:15:00Z
